Country,Region,City,Site_Name,EO_Sensor,Input_Data,Indicator_code,Measure,Data_Provider,AOI_ID,Hour,Minute,Sec,Year,Month,Day,Latitude,Longitude
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-43.21111696,NASA OBPG,IT6,12,40,00,2019,01,11,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-27.11396628,NASA OBPG,IT6,12,20,00,2019,01,25,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,0.0,NASA OBPG,IT6,12,40,00,2019,02,15,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-29.43766886,NASA OBPG,IT6,11,40,00,2019,02,22,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,56.44504562,NASA OBPG,IT6,12,10,00,2019,02,28,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,33.7619511,NASA OBPG,IT6,12,05,00,2019,03,07,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-13.65877396,NASA OBPG,IT6,12,15,00,2019,03,21,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-14.88655198,NASA OBPG,IT6,12,20,00,2019,03,28,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,0.0,NASA OBPG,IT6,11,45,00,2019,04,18,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-24.87787861,NASA OBPG,IT6,11,50,00,2019,04,25,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,13.45384065,NASA OBPG,IT6,11,55,00,2019,05,02,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,63.86559378,NASA OBPG,IT6,12,05,00,2019,05,09,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,84.53587875,NASA OBPG,IT6,12,10,00,2019,05,16,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,263.818841,NASA OBPG,IT6,12,15,00,2019,05,23,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-22.04919338,NASA OBPG,IT6,12,20,00,2019,05,30,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,24.15211211,NASA OBPG,IT6,12,25,00,2019,06,06,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,400.3817696,NASA OBPG,IT6,12,35,00,2019,06,13,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,31.3839028,NASA OBPG,IT6,12,40,00,2019,06,20,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,82.53459677,NASA OBPG,IT6,12,45,00,2019,06,27,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,7.730872128,NASA OBPG,IT6,11,15,00,2019,07,04,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-31.88901252,NASA OBPG,IT6,11,20,00,2019,07,11,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-2.272925391,NASA OBPG,IT6,12,20,00,2019,07,18,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-20.41476791,NASA OBPG,IT6,11,30,00,2019,07,25,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-54.91115127,NASA OBPG,IT6,11,40,00,2019,08,01,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-14.96671388,NASA OBPG,IT6,11,45,00,2019,08,08,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-30.04115169,NASA OBPG,IT6,11,50,00,2019,08,15,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,38.87927964,NASA OBPG,IT6,11,15,00,2019,08,22,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,53.70043173,NASA OBPG,IT6,12,05,00,2019,08,29,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-30.56141048,NASA OBPG,IT6,12,10,00,2019,09,05,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-30.76899174,NASA OBPG,IT6,12,15,00,2019,09,12,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-2.846617675,NASA OBPG,IT6,11,40,00,2019,09,19,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-22.67504562,NASA OBPG,IT6,12,25,00,2019,09,26,45.314247, 12.508055
IT,North Adriatic Sea,"Venice, Chl-a",AAOT fixed station Venezia,Aqua MODIS,MODISA L2 LAC OC,N3b,-22.47059946,NASA OBPG,IT6,11,50,00,2019,10,02,45.314247, 12.508055
